AbnormalResources,AntiDebug,BrowserReferences,CompanyName,CryptoUsed,DomainNames,Dropper,FileSize,Filename,HidingImports,IllegitimatePrograms,MalwareFunctions,MalwareType,MatchingCompiler,Overlay,PEiDSignature,Packed,PossibleCompilersCount,UndesirableBehavior,WindowsNativeAPI
False,False,False,unknown,False,False,False,566272,6ef3553e008e44bac3a64c1dbcbf973fd52b708ba024db343c00e6a1e55469c3,False,False,False,bancos,unknown,True,False,True,0,False,False
False,False,False,unknown,False,False,False,330240,6efccdb6720ad13ac00879a0475dfaed7889818237925ad4fb50dd1faf622436,False,False,False,bancos,unknown,True,False,True,0,False,False
False,False,False,unknown,False,False,False,29120,478b818b2f9fc608242a13cf2f6cde65b12defc318fbdfdcb2270a3bdb4c629e,False,True,False,rootkit,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,28768,478de80aecf2177b2ed2be12f9fdb97d242ff5f03c1c636c70fedee5df4b7918,False,True,False,rootkit,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,522752,47853bcf32fc04a6dcc99a559ee6d6c92a169eb862acd205ed482dbef22ac12f,False,False,False,bancos,unknown,True,False,True,0,False,False
False,True,False,unknown,False,False,False,28576,7cdd7085f8e093057fc8170061a0217cd025ed5a08ae5d32e5dcc6d61a45e7df,False,True,False,rootkit,Microsoft Visual C++,False,False,True,1,False,True
False,True,False,unknown,False,False,False,48032,7cde5dc451467138d3421c07ef69917c0f22f65e06e01579719929fa8b2a20e7,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,Windows (R) 2000 DDK provider,False,True,False,26880,4886084259c88c36eacec464a60e120142f1b38cebc50621300d6ca7b01a4088,False,False,False,rootkit,unknown,True,False,True,0,False,False
False,False,False,unknown,False,False,False,327680,488fc8033c123f708ba463458b7f270df2b66938b8b10dc358bf1a86f2e98aeb,True,True,False,kryptik,unknown,True,True,True,3,False,False
False,True,False,unknown,False,False,False,49024,532adfac67b3f86ea344f9314cea051dc05717216155bf65b84d1846c69188f6,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,457728,6a0fd650d6134b9d4fe87abab57620ab50fb5bf3e802a7c0d215c0498d461419,False,False,False,bancos,unknown,True,False,True,0,False,False
False,True,False,unknown,False,False,False,92256,5b7e9cc8fa7a3be29c12e4188af320c39b52811f7799bdf80f8ce395758b94e2,False,True,False,saturn,unknown,False,False,True,2,True,True
False,False,False,unknown,False,False,True,99872,5b7b35bcc0b44cf266efe9d80b0e6666a232ae634870054df456d941bbf008b9,False,False,False,graftor,unknown,True,False,True,3,True,False
False,True,False,unknown,False,False,False,46272,6f840c969e657d1ae250f663466280570fae74b5facab42b1ad5196b94277fe9,False,True,False,farfli,unknown,False,False,True,0,False,True
False,False,False,unknown,False,False,False,393216,6f81abdfa86323be9bc21733f1d4f5f2dd80ed7745bde8f9783d5a52a19c0435,True,True,False,winwebsec,unknown,True,True,True,3,False,False
False,False,False,unknown,False,False,False,28608,46ebb92a93b083632f25119f47d19bfd592d51679b1d5482e9d4281a05ef3b29,False,True,False,koutodoor,Microsoft Visual C++,False,False,True,1,False,True
False,False,False,unknown,False,False,True,113072,4a2ffabb1a612deeb6ecaf1f8343a5e76bc8403617c047e35b2b68e5444b5c77,True,False,False,aatv,Microsoft Visual C++ 6.0 - 8.0,True,False,False,1,True,False
False,False,False,unknown,False,True,False,423610,4a278ea566ea613cd129b3f5194a70f2d8ecd47d96db22384f38a4975ffa79aa,True,False,False,worm,unknown,True,True,True,4,True,False
False,False,False,Microsoft,False,True,False,211760,4a25e9e79ceed1f26963dc03a258c141283031dcfbfea2174321c437322d6e5e,False,False,False,swisyn,unknown,True,True,False,2,False,False
False,False,False,unknown,False,True,False,162916,4a2531080757c999ad6ecf51ac9e140f56ecbb245374c5010f5ce6559cef3237,True,True,False,scar,Microsoft Visual C++ 6.0 - 8.0,True,False,False,1,False,False
False,False,False,unknown,False,False,False,28448,51d911aeb33ef8673db46cd52685127dde55592282e706e274d619b8d54a5367,False,True,False,rootkit,unknown,False,False,True,0,False,True
